image_path,text
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/0.jpg,d s ^ { 2 } = ( 1 - { \frac { q c o s \theta } { r } } ) ^ { \frac { 2 } { 1 + \alpha ^ { 2 } } } \lbrace d r ^ { 2 } + r ^ { 2 } d \theta ^ { 2 } + r ^ { 2 } s i n ^ { 2 } \theta d \varphi ^ { 2 } \rbrace - { \frac { d t ^ { 2 } } { ( 1 - { \frac { q c o s \theta } { r } } ) ^ { \frac { 2 } { 1 + \alpha ^ { 2 } } } } } .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/1.jpg,\widetilde \gamma _ { \mathrm { h o p f } } \simeq \sum _ { n > 0 } \widetilde { G } _ { n } { \frac { ( - a ) ^ { n } } { 2 ^ { 2 n - 1 } } }
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/2.jpg,\rho _ { L } ( q ) = \sum _ { m = 1 } ^ { L } \ P _ { L } ( m ) \ { \frac { 1 } { q ^ { m - 1 } } } .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/3.jpg,"{ \frac { d ^ { 2 } \varphi } { d \tau ^ { 2 } } } = \sin \varphi \ ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/4.jpg,"| t _ { i , j } | ^ { 2 } \leq t _ { i , i } t _ { j , j } , t _ { i , i } > 0 \forall i , j"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/5.jpg,s + t + u = - \frac { 8 } { \alpha ^ { \prime } }
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/6.jpg,m _ { \phi _ { 0 } } ^ { 2 } \sim { \frac { m ^ { 2 } v ^ { 2 } } { \Lambda ^ { 2 } } } .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/7.jpg,"( \partial b ) ^ { * } = - q ^ { 2 } ( D ^ { - 1 } ) \left( - q ^ { 3 } c d ( \partial a ) + q a d ( \partial c ) + q ^ { 2 } c ^ { 2 } ( \partial b ) - a c ( \partial d ) \right) ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/8.jpg,d _ { k } > \frac { 9 } { ( k + 2 ) ^ { 2 } } ( \bar { \varphi } \varphi ) _ { 0 } ^ { \frac { 4 } { 3 } } ( \bar { F } F ) _ { 0 } ^ { - 1 } d _ { k - 1 } \ .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/9.jpg,\varepsilon ^ { \mu \nu \alpha \beta } \partial _ { \nu } B _ { \alpha \beta } = 0 .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/10.jpg,\mathrm { I ) } \quad { \cal L } = \partial _ { z } \varphi \partial _ { \bar { z } } \varphi - 4 \varphi ^ { 2 } + 2 \varphi ^ { 4 } \quad \mathrm { a n d } \quad \mathrm { I I ) } \quad { \cal L } = \partial _ { z } \varphi \partial _ { \bar { z } } \varphi + 2 \varphi ^ { 2 } - 2 \varphi ^ { 4 } .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/11.jpg,"{ \cal W } \equiv { \frac { 1 } { 4 \rho ^ { 2 } } } \Big [ \cosh ( 2 \varphi _ { 2 } ) ( \rho ^ { 6 } - 2 ) - ( 3 \rho ^ { 6 } + 2 ) \Big ] , \qquad \rho \equiv e ^ { { \frac { 1 } { \sqrt { 6 } } } \varphi _ { 1 } } ."
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/12.jpg,"\zeta _ { \mathrm { f r } } ( K , P ) = \omega ( K , P ) t - { \bf k } ( { \bf x } - { \bf y } ) - { \bf p } ( { \bf x }"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/13.jpg,d s ^ { 2 } = \frac { 1 } { 4 \lambda ^ { 2 } } t a n h ^ { 2 } ( \lambda y ) d \theta ^ { 2 } + d y ^ { 2 }
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/14.jpg,"\sigma ( 0 ) = \frac { 8 T \sqrt { 2 \mu } } { b } = \sqrt { \frac { 8 g ^ { 2 } \zeta } { \pi ^ { 2 } } } = \sigma _ { 0 } ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/15.jpg,\varepsilon _ { 0 } ^ { \beta \rightarrow 0 } = A + B + C
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/16.jpg,N _ { n } ( x ) = - \frac { \prod _ { i = 1 } ^ { n } \nu _ { i } } { ( n - 3 ) ! } \left. \partial _ { a } ^ { ( n - 3 ) } a ^ { \frac { 1 } { 2 } ( x + n - 4 ) } \right| _ { a = 1 } .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/17.jpg,\Phi = R ^ { 3 } ( t ) \chi ( t ) = \varepsilon ^ { \mu \nu \alpha \beta } \varepsilon _ { a b c d } \partial _ { \mu } \varphi _ { a } \partial _ { \nu } \varphi _ { b } \partial _ { \alpha } \varphi _ { c } \partial _ { \beta } \varphi _ { d }
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/18.jpg,"E = { \frac { 1 } { 2 i } } \int _ { - \infty } ^ { \infty } { \frac { d \omega } { 2 \pi } } e ^ { - i \omega \tau } \sum _ { l = 1 } ^ { \infty } ( 2 l + 1 ) \int _ { 0 } ^ { \infty } r ^ { 2 } d r 2 k ^ { 2 } [ F _ { l } ( r , r ) + G _ { l } ( r , r ) ] ."
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/19.jpg,\mathcal { R } _ { a } \equiv ( R _ { a b } - \frac { 1 } { 2 ( n - 1 ) } \eta _ { a b } R ) \mathbf { e } ^ { b }
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/20.jpg,"E _ { n } = \left( n + \frac { 1 } { 2 } \right) \omega ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/21.jpg,"\mathrm { K } = \mathrm { \^ { K } } ( M ^ { a } , M ^ { a * } ) + \mathrm { { K } } ( M ^ { a } , M ^ { a * } ) _ { \alpha \beta } T r ( \Phi ^ { \alpha * } \Phi ^ { \beta } ) + . . . ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/22.jpg,"h _ { \mu \nu } ^ { c o m p } = \sum _ { n } \tilde { h } _ { \mu \nu } ( \tilde { x } ^ { 0 } , \tilde { x } ^ { i } , \tilde { x } ^ { 1 0 } + 2 \pi n R _ { s } ) ."
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/23.jpg,z ^ { 2 } - \omega _ { 0 } ^ { 2 } - 2 \pi \overline { { G } } ( z ) + 2 \pi i r ( z ) = 0 .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/24.jpg,\widetilde \Psi _ { \xi } ^ { \prime } \ = \ ( \cosh V _ { \xi } ^ { \prime } ) ( \cosh V _ { \xi } ) ^ { - 1 } \widetilde \Psi _ { \xi } \ .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/25.jpg,\mathrm { e x p } \left[ ( { \bf k } _ { i } \times { \bar { \bf k } } _ { j } ) \sigma _ { i j } \right] = \mathrm { e x p } \left[ - { \frac { i } { 2 } } \Theta ^ { \mu \nu } p _ { \mu } ^ { i } p _ { \nu } ^ { j } \sigma _ { i j } \right] \quad .
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/26.jpg,"d \tilde { K } _ { 7 } = - { \frac { 1 } { 2 } } K _ { 4 } { } ^ { 2 } + ( 2 \pi ) ^ { 4 } { \tilde { \beta } } ^ { \prime } { \tilde { X } } _ { 8 } \ ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/27.jpg,"Z _ { 1 } ^ { c ^ { 2 } } ( s ; 1 , a ) = \sum _ { n = 1 } ^ { + \infty } \left[ c ^ { 2 } + ( n + a ) ^ { 2 } \right] ^ { - s } ,"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/28.jpg,"2 M = \frac { 1 - k ^ { 2 } - 2 l } { 1 + k ^ { 2 } } \rho _ { 0 } , \beta = 1 , \gamma = 1 + \frac { 2 l \rho _ { 0 } } { ( 1 + k ^ { 2 } ) M } ."
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/29.jpg,V ( \phi ) = - { \frac { 2 k } { 2 k + 1 } } ( { \frac { 2 k } { a } } ) ^ { \frac { 1 } { 2 k } } \phi ^ { 1 + 1 / 2 k } - R _ { 0 } \phi + c
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/30.jpg,"\left\{ \begin{array} { l l } { 1 \leq \rho \leq \frac { g - 2 } { 2 } , \quad 1 \leq y \leq | \tilde { G } | , } & { \quad \mathrm { g e v e n } , } \\ { 1 \leq \rho \leq g - 2 , \quad 1 \leq y \leq \frac { g - 1 } { 2 } , } & { \quad \mathrm { G = A _ { g - 1 } , g o d d , } } \\ \end{array} \right."
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/31.jpg,"E _ { e f f ( 3 + 1 ) } = - \frac { B _ { m } } { 2 \pi ^ { 2 } } \int _ { 0 } ^ { + \infty } y \ln \left( \frac { y ^ { 2 } + m _ { f } ^ { 2 } / B _ { m } } { m _ { f } ^ { 2 } / B _ { m } } \right) \left( G ( y , B _ { m } d ^ { 2 } ) - c \right) d y"
/lab/shiyh_lab/12432696/VLM/self-llm/Qwen-VL/LaTeX_OCR/32.jpg,"y ^ { \delta } \tilde { \Gamma } ^ { \alpha } { } _ { \beta \delta } \tilde { B } ^ { \beta } | _ { 1 } = y ^ { \delta } ( \Gamma ^ { \alpha } { } _ { \beta \delta } + \Gamma ^ { \alpha } { } _ { \beta \delta , \sigma } x ^ { \sigma } / 2 ) [ B ^ { \beta } + ( B ^ { \beta } { } _ { , \sigma } + \Gamma ^ { \beta } { } _ { \sigma \tau } B ^ { \tau } ) d ^ { \sigma } / 2 ]"
